t,gt_x,gt_y,gt_z,fused_x,fused_y,fused_z,err_3d,quality
0,2,0,10,0,0,0,10.198,0
0.05,1.99938,0.0499948,10.025,1.90654,0.0392031,9.95072,0.119381,1
0.1,1.9975,0.0999583,10.05,1.90476,0.0391081,10.0161,0.11598,1
0.15,1.99438,0.149859,10.075,2.06669,0.0310175,10.0357,0.144569,1
0.2,1.99001,0.199667,10.1,2.06291,0.0307799,9.97396,0.222985,1
0.25,1.9844,0.249349,10.125,2.04703,0.194571,10.0456,0.114982,1
0.3,1.97754,0.298876,10.15,2.03702,0.218705,10.0353,0.152052,1
0.35,1.96945,0.348216,10.175,1.91156,0.210031,10.196,0.151293,1
0.4,1.96013,0.397339,10.2,1.92812,0.294641,10.2599,0.123126,1
0.45,1.94959,0.446213,10.225,1.9085,0.315978,10.2853,0.149263,1
0.5,1.93782,0.494808,10.25,1.88752,0.337277,10.283,0.168621,1
0.55,1.92485,0.543094,10.275,1.98226,0.369447,10.2495,0.184658,1
0.6,1.91067,0.59104,10.3,1.96924,0.391498,10.268,0.210413,1
0.65,1.8953,0.638618,10.325,1.90741,0.733437,10.2546,0.118692,1
0.7,1.87875,0.685796,10.35,1.88199,0.798324,10.2866,0.129201,1
0.75,1.86102,0.732545,10.375,1.6695,0.684286,10.5316,0.25203,1
0.8,1.84212,0.778837,10.4,1.62781,0.726137,10.5783,0.283697,1
0.85,1.82208,0.824642,10.425,1.89505,0.959362,10.4822,0.163557,1
0.9,1.80089,0.869931,10.45,1.87815,1.01319,10.3592,0.186385,1
0.95,1.77859,0.914677,10.475,1.82829,0.893327,10.4913,0.0564916,1
1,1.75517,0.958851,10.5,1.80569,0.938494,10.5547,0.0772022,1
1.05,1.73065,1.00243,10.525,1.88985,1.09582,10.6044,0.200928,1
1.1,1.70505,1.04537,10.55,1.87874,1.13623,10.559,0.196226,1
1.15,1.67838,1.08767,10.575,1.60471,1.12608,10.5221,0.0984919,1
1.2,1.65067,1.12928,10.6,1.54237,1.20737,10.6709,0.151189,1
1.25,1.62193,1.17019,10.625,1.64821,1.22843,10.7194,0.113981,1
1.3,1.59217,1.21037,10.65,1.61088,1.28946,10.7039,0.0975035,1
1.35,1.56141,1.24979,10.675,1.70296,1.23587,10.7828,0.178486,1
1.4,1.52968,1.28844,10.7,1.68186,1.27475,10.6749,0.154833,1
1.45,1.497,1.32627,10.725,1.41758,1.22084,10.7257,0.131999,1
1.5,1.46338,1.36328,10.75,1.38075,1.24861,10.7178,0.144957,1
1.55,1.42884,1.39943,10.775,1.40164,1.38342,10.699,0.0823323,1
1.6,1.39341,1.43471,10.8,1.34823,1.43775,10.9205,0.128757,1
1.65,1.35711,1.4691,10.825,1.24958,1.55705,10.811,0.139626,1
1.7,1.31997,1.50256,10.85,1.23625,1.57035,10.864,0.108629,1
1.75,1.28199,1.53509,10.875,1.23537,1.44216,10.7746,0.144512,1
1.8,1.24322,1.56665,10.9,1.19401,1.47019,10.8323,0.127705,1
1.85,1.20367,1.59724,10.925,1.14795,1.70395,10.8239,0.15723,1
1.9,1.16337,1.62683,10.95,1.10447,1.7462,10.8136,0.190615,1
1.95,1.12234,1.6554,10.975,1.07663,1.69609,10.8864,0.107684,1
2,1.0806,1.68294,11,1.02397,1.73856,10.9998,0.0793764,1
2.05,1.0382,1.70943,11.025,1.05366,1.69304,11.004,0.0308072,1
2.1,0.995142,1.73485,11.05,0.823034,1.5572,11.1442,0.264674,1
2.15,0.951464,1.75918,11.075,0.773907,1.57064,11.1692,0.275593,1
2.2,0.907192,1.78241,11.1,0.831133,1.89549,11.0276,0.154333,1
2.25,0.862353,1.80454,11.125,0.783392,1.93129,11.0499,0.16716,1
2.3,0.816975,1.82553,11.15,0.735516,1.96692,11.1931,0.168766,1
2.35,0.771086,1.84538,11.175,0.800105,2.00807,11.1869,0.165681,1
2.4,0.724716,1.86408,11.2,0.745259,2.05459,11.2362,0.195009,1
2.45,0.677892,1.88161,11.225,0.760575,1.97894,11.2082,0.128809,1
2.5,0.630645,1.89797,11.25,0.713605,2.01216,11.3168,0.15617,1
2.55,0.583003,1.91314,11.275,0.524863,1.86327,11.2156,0.096917,1
2.6,0.534998,1.92712,11.3,0.469816,1.87898,11.2361,0.103165,1
2.65,0.486658,1.93989,11.325,0.489404,2.03712,11.2904,0.103258,1
2.7,0.438013,1.95145,11.35,0.443724,2.05914,11.395,0.116867,1
2.75,0.389095,1.96179,11.375,0.325117,1.95233,11.3907,0.0665453,1
2.8,0.339934,1.9709,11.4,0.268633,1.96519,11.3254,0.103373,1
2.85,0.290561,1.97878,11.425,0.290823,1.91491,11.4963,0.0957311,1
2.9,0.241006,1.98543,11.45,0.234101,1.92207,11.4604,0.0645765,1
2.95,0.1913,1.99083,11.475,0.260963,1.99012,11.4898,0.0712272,1
3,0.141474,1.99499,11.5,0.218578,1.99782,11.4756,0.0809281,1
3.05,0.0915606,1.9979,11.525,0.12488,2.09776,11.5609,0.111234,1
3.1,0.0415897,1.99957,11.55,0.0929629,2.10618,11.5986,0.127939,1
3.15,-0.00840732,1.99998,11.575,0.0358058,1.85866,11.5906,0.148894,1
3.2,-0.058399,1.99915,11.6,-0.0587139,2.08812,11.4868,0.144008,1
3.25,-0.108354,1.99706,11.625,-0.101944,2.09473,11.506,0.154115,1
3.3,-0.158242,1.99373,11.65,-0.154532,2.1018,11.5325,0.159698,1
3.35,-0.20803,1.98915,11.675,-0.0527916,1.9861,11.6517,0.157011,1
3.4,-0.257689,1.98333,11.7,-0.103163,1.98268,11.7805,0.174232,1
3.45,-0.307187,1.97627,11.725,-0.296923,1.95115,11.735,0.0289049,1
3.5,-0.356492,1.96797,11.75,-0.349419,1.94286,11.5181,0.233391,1
3.55,-0.405575,1.95845,11.775,-0.543837,2.06704,11.7334,0.180675,1
3.6,-0.454404,1.9477,11.8,-0.605637,2.06575,11.8866,0.210478,1
3.65,-0.50295,1.93573,11.825,-0.42725,1.97812,11.8249,0.0867622,1
3.7,-0.55118,1.92255,11.85,-0.473652,1.96891,11.8582,0.0907054,1
3.75,-0.599067,1.90817,11.875,-0.641255,1.97769,11.9909,0.141612,1
3.8,-0.646579,1.8926,11.9,-0.689926,1.96807,11.9068,0.0873026,1
3.85,-0.693687,1.87585,11.925,-0.607116,1.84813,11.9886,0.110955,1
3.9,-0.740362,1.85792,11.95,-0.651622,1.82875,12.0662,0.149079,1
3.95,-0.786573,1.83883,11.975,-0.910508,1.87619,12.0197,0.13693,1
4,-0.832294,1.81859,12,-0.962557,1.86016,12.0786,0.157695,1
4.05,-0.877494,1.79722,12.025,-0.71078,1.81302,12.0036,0.168822,1
4.1,-0.922145,1.77472,12.05,-0.717582,1.80914,12.04,0.20768,1
4.15,-0.966221,1.75112,12.075,-0.89312,1.74042,12.1291,0.0915849,1
4.2,-1.00969,1.72642,12.1,-0.791657,1.77391,11.9574,0.264799,1
4.25,-1.05253,1.70064,12.125,-0.821471,1.7522,11.977,0.279215,1
4.3,-1.09472,1.6738,12.15,-0.850333,1.7294,11.9573,0.31613,1
4.35,-1.13621,1.64591,12.175,-0.964872,1.67478,12.1715,0.173793,1
4.4,-1.177,1.61699,12.2,-1.0107,1.63766,12.201,0.167587,1
4.45,-1.21706,1.58707,12.225,-1.28704,1.46521,12.1674,0.151861,1
4.5,-1.25635,1.55615,12.25,-1.33161,1.42876,12.3177,0.162717,1
4.55,-1.29485,1.52425,12.275,-1.31125,1.61792,12.4001,0.157136,1
4.6,-1.33255,1.49141,12.3,-1.35094,1.59196,12.3834,0.131957,1
4.65,-1.36942,1.45763,12.325,-1.39237,1.39661,12.4756,0.164127,1
4.7,-1.40543,1.42295,12.35,-1.43872,1.35179,12.4245,0.108266,1
4.75,-1.44056,1.38737,12.375,-1.36887,1.36103,12.3914,0.0781042,1
4.8,-1.47479,1.35093,12.4,-1.4133,1.30916,12.4541,0.0919257,1
4.85,-1.5081,1.31364,12.425,-1.51978,1.32274,12.5169,0.0931076,1
4.9,-1.54046,1.27553,12.45,-1.53708,1.3047,12.5213,0.0771036,1
4.95,-1.57187,1.23662,12.475,-1.46442,1.1708,12.544,0.143677,1
5,-1.60229,1.19694,12.5,-1.48934,1.12917,12.5903,0.159705,1
5.05,-1.63171,1.15652,12.525,-1.58293,1.07616,12.346,0.202207,1
5.1,-1.66011,1.11537,12.55,-1.60921,1.03206,12.3643,0.209813,1
5.15,-1.68747,1.07352,12.575,-1.54173,1.10624,12.5572,0.150423,1
5.2,-1.71378,1.031,12.6,-1.57385,1.04252,12.5959,0.140458,1
5.25,-1.73901,0.987841,12.625,-1.59267,0.903513,12.7604,0.216449,1
5.3,-1.76316,0.944061,12.65,-1.60837,0.86154,12.7688,0.211867,1
5.35,-1.78621,0.899692,12.675,-1.80919,0.845053,12.6525,0.063384,1
5.4,-1.80814,0.85476,12.7,-1.83425,0.798619,12.6317,0.0921695,1
5.45,-1.82895,0.809294,12.725,-1.78096,0.862326,12.7171,0.0719567,1
5.5,-1.8486,0.763322,12.75,-1.80339,0.812417,12.6786,0.0977266,1
5.55,-1.86711,0.716873,12.775,-1.85142,0.655716,12.8074,0.0709676,1
5.6,-1.88444,0.669976,12.8,-1.86931,0.606876,12.7692,0.0718451,1
5.65,-1.9006,0.622661,12.825,-1.93149,0.507953,12.7661,0.132579,1
5.7,-1.91557,0.574956,12.85,-1.94969,0.455476,12.7807,0.142271,1
5.75,-1.92935,0.526892,12.875,-2.14041,0.506456,12.8258,0.217683,1
5.8,-1.94192,0.478499,12.9,-2.0677,0.517039,12.8693,0.135092,1
5.85,-1.95327,0.429806,12.925,-2.08652,0.4722,12.8929,0.143464,1
5.9,-1.9634,0.380845,12.95,-2.10424,0.427184,12.9389,0.148675,1
5.95,-1.97231,0.331646,12.975,-1.8853,0.355737,12.8881,0.125281,1
6,-1.97998,0.28224,13,-1.88872,0.304487,13.1273,0.158177,1
6.05,-1.98642,0.232657,13.025,-2.0505,0.33105,13.0662,0.124445,1
6.1,-1.99162,0.182929,13.05,-2.06044,0.283643,13.163,0.166248,1
6.15,-1.99557,0.133087,13.075,-2.02726,0.144026,13.2351,0.163602,1
6.2,-1.99827,0.0831613,13.1,-2.03143,0.0901655,13.0267,0.080789,1
6.25,-1.99972,0.0331838,13.125,-2.13236,0.0838977,13.0558,0.157977,1
